video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
NcjcYbjwfzQ,1551.0,34.0,7,9,1,0,1,0,0.0,0,9,59,0,0.0,0,0.0,9,59,5.666660370377366,3,21,3,9,909,4,26,7,0,0,0,1,0,0,0,0,Science & Technology
s4UKVrMF70I,716314.0,25208.0,57,9,0,0,1,0,0.0,2,8,70,0,0.0,0,0.11111098765445816,7,74,9.285701020427114,3,17,1,11,882,5,23,6,0,0,1,0,0,0,0,0,Science & Technology
iw3xvAlLr9E,2404.0,29.0,13,9,0,0,0,0,0.0,0,6,54,0,0.0,0,0.0,16,182,10.249993593754004,2,12,1,12,390,9,26,13,0,0,0,0,1,0,0,0,Science & Technology
4Yt9mOcPLAc,1931.0,111.0,1387,9,0,0,1,0,0.10526310249310396,0,16,90,0,0.0,0,0.057692302144970946,101,591,4.782177744338837,3,13,2,10,1213,6,26,5,1,0,0,0,0,0,0,1,Science & Technology
ZFwv-ootxZc,2275.0,46.0,12,9,0,0,0,0,0.08333326388894677,0,12,90,0,0.0,0,0.099999950000025,20,136,5.699997150001425,3,21,1,14,940,3,26,13,1,0,0,0,0,0,0,1,Science & Technology
2DzaFEzxH1I,1951.0,53.0,31,9,0,0,0,0,0.11111098765445816,0,9,62,1,0.11111098765445816,1,0.11111098765445816,9,62,5.999993333340741,3,19,2,5,1036,12,20,1,0,0,1,0,0,0,0,0,Science & Technology
F9d_4AEP9uI,4644.0,23.0,18,9,0,0,1,0,0.6428566836737974,0,12,90,0,0.0,0,0.6923075147929448,34,254,6.264704039792929,2,12,1,6,147,5,27,12,0,0,1,0,0,0,0,0,Science & Technology
Hdy6BiLYX1E,2707767.0,52438.0,26,9,0,0,0,0,0.24999937500156252,0,4,22,0,0.0,0,0.04663212193615948,191,1395,6.256544175050043,2,15,2,22,965,3,1,0,0,0,0,1,0,0,0,0,Science & Technology
HCJ4gMeVSF0,74286.0,2404.0,56,9,0,0,0,0,0.0,0,11,87,0,0.0,0,0.0,11,87,6.999993636369422,3,16,2,2,1150,8,28,2,1,0,0,0,0,0,0,1,Science & Technology
CULDP5ZKEQo,1361345.0,21215.0,23,9,0,0,0,1,0.0,6,9,64,0,0.0,0,0.0,14,121,7.49999464286097,2,13,1,6,872,6,2,1,1,0,0,0,0,1,0,0,Science & Technology
0PZo-lVTn2E,9077.0,215.0,1103,9,0,0,1,0,0.0,1,8,72,0,0.0,0,0.04477611717531755,185,1366,6.2702699313367605,1,6,1,28,954,3,12,15,1,0,0,0,0,0,0,1,Science & Technology
JYpGPRA9-xk,13982704.0,956808.0,43,9,0,0,0,1,0.0,1,10,73,1,0.0999999000001,1,0.0,16,127,6.93749566406521,2,11,2,6,1001,1,24,9,0,0,1,0,0,0,0,0,Science & Technology
atFiZCvrJAk,12757.0,176.0,36,9,0,0,1,0,0.12499992187504883,0,12,92,0,0.0,0,0.13636357438019348,20,200,8.899995550002226,2,8,1,8,148,5,26,11,0,1,0,0,0,0,0,0,Science & Technology
ZuIQ_y7rgGQ,659.0,38.0,1088,9,0,0,1,0,0.11764698961941787,0,15,96,0,0.0,0,0.04225351815116069,140,1211,7.578570887244936,3,13,2,9,965,3,1,7,0,0,0,1,0,0,0,0,Science & Technology
-ROCfqdvfQQ,927.0,15.0,12,9,0,0,1,0,0.0,0,10,79,1,0.0999999000001,1,0.015873013353489944,60,420,5.966665672222388,2,8,1,9,879,5,26,13,1,0,0,0,0,1,0,0,Science & Technology
