video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
3ihtcnPwkqI,1354423,5300,3875,5,0,0,1,1,0.0,2,13,76,1,0.07692301775152481,1,0.0,42,277,5.595236763038866,2,14,1,19,57,8,26,0,0,0,1,0,0,0,0,0,Music
AF0h_XxxZ4I,1259078,5200,6459,5,0,0,1,0,0.0,0,15,98,2,0.1333332444445037,1,0.013698628260461882,73,466,5.397259534621981,2,11,1,19,87,7,27,0,1,0,0,0,0,0,0,1,Music
4Ubn51w6Ino,7929631,27000,4509,5,0,0,1,1,0.21428556122459913,8,14,91,2,0.1428570408163994,1,0.17241373365043666,27,187,5.740738614541254,2,16,1,20,160,5,15,0,0,0,0,0,1,0,0,0,Music
uM3Bjbskv48,15344887,134000,60,5,0,0,1,0,0.0499999750000125,0,14,90,0,0.0,0,0.15789465373965592,17,125,6.294113944638856,2,15,1,25,63,8,20,0,0,0,0,1,0,0,0,0,Music
5dRdgx-fYLs,5528509,32000,149,5,0,0,1,0,0.21428556122459913,1,12,72,0,0.0,0,0.33333314814825105,17,138,7.058819377165072,2,14,1,13,877,5,29,0,0,1,0,0,0,0,0,0,Music
3rS83uI0Wak,6185163,299000,205,5,0,0,0,0,0.4166663194447338,0,11,64,0,0.0,0,0.8333326388894676,10,52,4.0999959000041,1,8,1,8,48,9,4,0,0,0,0,0,1,0,0,0,Music
Iewn4zANODE,1844767,45000,129,5,0,0,1,0,0.16666638888935187,2,5,30,0,0.0,0,0.08333326388894677,9,68,6.444437283958574,1,6,1,28,11,10,11,0,0,0,0,0,0,0,1,0,Music
7ASDkhsV2uA,2518546,28000,270,5,0,0,1,0,0.0,0,10,75,0,0.0,0,0.0,11,82,5.818176528930429,3,17,1,26,75,8,8,0,1,0,0,0,0,1,0,0,Music
dY8_NUb2o68,60177,479,3755,5,0,0,1,0,0.15789465373965592,3,18,96,1,0.055555524691375174,1,0.0599999880000024,44,251,4.409089907025021,4,20,1,28,1,10,21,0,0,0,1,0,0,0,0,0,Music
Kc_e67BHC_w,199403,2200,6,5,0,0,1,0,0.055555524691375174,0,16,89,0,0.0,0,0.03124999023437805,32,181,4.656248544922329,1,7,2,18,1,10,21,0,0,0,1,0,0,0,0,0,Music
NCkIbF6OhGs,4108078,154000,179,5,0,0,0,0,0.0,0,6,37,0,0.0,0,0.0,8,58,6.3749920312599615,1,7,1,20,9,10,13,0,0,1,0,0,0,0,0,0,Music
rkCgoGn4Ivw,671909,2000,3543,5,0,0,1,1,0.0,6,14,92,1,0.0714285204081997,1,0.0,32,242,6.437497988281878,3,21,1,3,159,5,16,0,1,0,0,0,0,1,0,0,Music
AWDB1lGuCFk,70678,266,189,5,0,0,0,0,0.15789465373965592,2,15,86,0,0.0,0,0.09090900826453795,6,52,6.999988333352778,2,11,2,24,7,10,15,0,0,0,0,1,0,0,0,0,Music
