video_id,views,likes,duration,category,has_questions,has_exclamations,has_numbers,has_emoji,title_caps_ratio,emoji_count,title_word_count,title_char_count,clickbait_count,clickbait_ratio,has_clickbait,des_caps_ratio,des_word_count,des_char_count,des_avg_word_len,channel_word_count,channel_char_count,channel_freq,tags_count,days_since_upload,upload_month,upload_day,upload_hour,is_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,category_label
AQ8oQ-EmYqE,436235,9400,289,6,0,0,1,0,0.0,1,9,59,0,0.0,0,0.03448274673008733,24,156,5.291664461806475,2,18,1,32,33,9,19,0,1,0,0,0,0,1,0,0,Music
UsOaNCiXbOU,23330,89,881,6,0,0,1,1,0.7142846938790088,4,6,36,0,0.0,0,0.35714260204099857,13,125,8.615377988170778,1,6,1,8,3,10,19,0,1,0,0,0,0,0,0,1,Music
1prf9K0Pl90,6530936,10000,270,6,0,1,0,0,0.24999968750039064,0,8,56,0,0.0,0,0.0,35,186,4.342855902041171,2,10,2,10,522,5,18,0,0,0,0,0,0,0,1,0,Music
_QGq10ab-0M,33401398,0,160,6,0,0,0,1,0.7272720661163036,1,8,44,0,0.0,0,0.0,12,72,4.999995833336806,2,7,1,13,144,5,31,0,0,0,0,0,0,0,1,0,Music
tSe7Jx33LyQ,29342,210,5557,6,0,0,1,1,0.0,4,14,89,1,0.0714285204081997,1,0.0,24,194,6.916663784723423,2,13,1,20,3,10,19,0,1,0,0,0,0,0,0,1,Music
xlwiqNf1Soo,121052,8300,628,6,0,0,1,0,0.0,0,5,42,0,0.0,0,0.0,18,122,5.777774567903018,2,14,1,3,5,10,17,0,1,0,0,0,0,1,0,0,Music
cZu-VDHtJlY,406969,8900,762,6,0,1,0,0,0.1999998000002,0,10,48,0,0.0,0,0.0,25,121,3.799998480000608,2,12,1,25,88,7,26,0,0,0,0,0,0,0,1,0,Music
uVM5G2rfy14,1806489,6000,8043,6,0,0,1,0,0.0,0,15,92,0,0.0,0,0.0,47,284,5.063828709823678,2,13,4,32,7,10,15,0,0,0,0,1,0,0,0,0,Music
iN79dWKuA3o,2676392,12000,2038,6,0,0,1,1,0.7142853741498219,4,16,93,2,0.12499992187504883,1,0.7142853741498219,16,93,4.624997109376807,3,16,1,1,121,6,23,0,0,1,0,0,0,0,0,0,Music
XCLUn-OMgsM,271704,923,335,6,0,0,1,0,0.0,0,12,78,0,0.0,0,0.0,12,78,5.583328680559433,2,10,1,23,1,10,21,0,0,0,1,0,0,0,0,0,Music
izbydia9jz4,105288987,609000,6,6,0,0,0,0,0.0,0,13,93,0,0.0,0,0.1428570408163994,11,81,6.18181256198858,3,16,1,19,189,4,16,0,0,0,0,1,0,0,0,0,Music
YhTFy9adTKE,437992,6600,2766,6,0,0,1,1,0.9999983333361112,5,6,44,1,0.16666638888935187,1,0.06666664444445185,27,168,5.148146241427318,1,6,1,5,12,10,10,0,1,0,0,0,0,1,0,0,Music
Wo__M-KVcYQ,8104261,150000,84,6,0,0,0,0,0.9999966666777778,0,3,18,0,0.0,0,0.3999996000004,9,57,5.222216419759534,1,8,1,2,51,9,1,0,0,1,0,0,0,0,0,0,Music
UmBqTzvOVc0,15308234,135000,2821,6,0,0,0,0,0.0,0,9,54,0,0.0,0,0.0,12,102,7.166660694449422,3,22,1,15,147,5,28,0,0,0,0,1,0,0,0,0,Music
0gHkiCFa86c,2550838,34000,94,6,0,0,0,0,0.5833328472226273,0,12,75,1,0.08333326388894677,1,0.49999964285739795,13,107,7.230763668643332,3,19,1,45,33,9,19,0,1,0,0,0,0,1,0,0,Music
Z3bh7H96AEM,1994283,8600,1471,6,0,0,1,0,0.14285693877580175,1,6,30,2,0.33333277777870374,1,0.24999968750039064,6,39,5.499990833348612,1,5,1,17,128,6,16,0,0,1,0,0,0,0,0,0,Music
wU_YPkGuyo8,9505,99,245,6,0,0,0,0,0.0,0,2,9,0,0.0,0,0.0,29,208,5.931032437575022,3,18,1,9,3166,2,20,0,0,1,0,0,0,0,0,0,Music
xMSuYh4ElPs,86794356,548000,164,6,0,0,1,0,0.0,0,13,83,0,0.0,0,0.0,16,111,5.749996406252246,2,13,1,24,166,5,9,0,1,0,0,0,0,1,0,0,Music
